,Population 2022,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
MKD,149,,North Macedonia," 2,058 ",
LVA,150,,Latvia," 1,883 ",
XKX,151,,Kosovo," 1,762 ",
GNQ,152,,Equatorial Guinea," 1,675 ",
TTO,153,,Trinidad and Tobago," 1,531 ",
BHR,154,,Bahrain," 1,472 ",
EST,155,,Estonia," 1,345 ",
TLS,156,,Timor-Leste," 1,341 ",
MUS,157,,Mauritius," 1,263 ",
CYP,158,,Cyprus," 1,251 ",
SWZ,159,,Eswatini," 1,202 ",
DJI,160,,Djibouti," 1,121 ",
FJI,161,,Fiji, 930 ,
COM,162,,Comoros, 837 ,
GUY,163,,Guyana, 809 ,
BTN,164,,Bhutan, 782 ,
SLB,165,,Solomon Islands, 724 ,
MAC,166,,"Macao SAR, China", 695 ,
LUX,167,,Luxembourg, 651 ,
SUR,168,,Suriname, 618 ,
MNE,169,,Montenegro, 616 ,
CPV,170,,Cabo Verde, 593 ,
MDV,171,,Maldives, 524 ,
MLT,172,,Malta, 523 ,
BRN,173,,Brunei Darussalam, 449 ,
BHS,174,,"Bahamas, The", 410 ,
BLZ,175,,Belize, 405 ,
ISL,176,,Iceland, 382 ,
VUT,177,,Vanuatu, 327 ,
PYF,178,,French Polynesia, 306 ,
BRB,179,,Barbados, 282 ,
NCL,180,,New Caledonia, 277 ,
STP,181,,São Tomé and Principe, 227 ,
WSM,182,,Samoa, 222 ,
LCA,183,,St. Lucia, 180 ,
CHI,184,,Channel Islands, 174 ,
GUM,185,,Guam, 172 ,
CUW,186,,Curaçao, 150 ,
KIR,187,,Kiribati, 131 ,
GRD,188,,Grenada, 125 ,
FSM,189,,"Micronesia, Fed. Sts.", 114 ,
TON,190,,Tonga, 107 ,
ABW,191,,Aruba, 106 ,
VIR,192,,Virgin Islands (U.S.), 105 ,
VCT,193,,St. Vincent and the Grenadines, 104 ,
SYC,194,,Seychelles, 100 ,
ATG,195,,Antigua and Barbuda, 94 ,
IMN,196,,Isle of Man, 85 ,
AND,197,,Andorra, 80 ,
DMA,198,,Dominica, 73 ,
CYM,199,,Cayman Islands, 69 ,
BMU,200,,Bermuda, 64 ,
GRL,201,,Greenland, 57 ,
FRO,202,,Faroe Islands, 53 ,
MNP,203,,Northern Mariana Islands, 50 ,
KNA,204,,St. Kitts and Nevis, 48 ,
TCA,205,,Turks and Caicos Islands, 46 ,
ASM,206,,American Samoa, 44 ,
SXM,207,,Sint Maarten (Dutch part), 43 ,
MHL,208,,Marshall Islands, 42 ,
LIE,209,,Liechtenstein, 39 ,
MCO,210,,Monaco, 36 ,
SMR,211,,San Marino, 34 ,
GIB,212,,Gibraltar, 33 ,
MAF,213,,St. Martin (French part), 32 ,
VGB,214,,British Virgin Islands, 31 ,
PLW,215,,Palau, 18 ,
NRU,216,,Nauru, 13 ,
TUV,217,,Tuvalu, 11 ,
,,,,,
,,,,,
WLD,,,World," 7,951,150 ",
,,,,,
EAS,,,East Asia & Pacific," 2,375,143 ",
ECS,,,Europe & Central Asia," 920,631 ",
LCN,,,Latin America & Caribbean," 659,311 ",
MEA,,,Middle East & North Africa," 493,265 ",
NAC,,,North America," 372,281 ",
SAS,,,South Asia," 1,919,348 ",
SSF,,,Sub-Saharan Africa," 1,211,170 ",
LIC,,,Low income," 703,728 ",
LMC,,,Lower middle income," 3,190,013 ",
UMC,,,Upper middle income," 2,784,208 ",
HIC,,,High income," 1,244,899 ",
,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.  ,,,,
,,,,,
,http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
